Hour,Generator,Bus,P_kW,Q_kVAR
6,mg2_gen1,72,-99.9996790568577,-53.973197225376005
6,mg2_gen2,75,-41.693888577573325,-22.50373357223736
6,mg2_gen3,76,-99.99967685673782,-53.97319424924847
6,mg2_gen4,771,-99.99967488503438,-53.97321850314245
6,mg2_gen5,86,-99.99967553761469,-53.973192232237636
6,mg2_gen6,931,-99.99967002691432,-53.97321266704881
6,gen401,401,0.0,0.0
6,gen1011,1011,0.0,0.0
7,mg1_gen1,22,-43.17736429420852,-23.304572795086965
7,mg1_gen2,24,-41.23661443459347,-22.256564012739773
7,mg1_gen3,28,-99.99981082682228,-53.97354997628064
7,mg1_gen4,301,-99.99981143880231,-53.973568480300955
7,mg2_gen1,72,-99.9997336195487,-53.973380777036084
7,mg2_gen2,75,-40.92998537159295,-22.090891995392596
7,mg2_gen3,76,-99.99973070079395,-53.97337577006888
7,mg2_gen4,771,-99.99972803917557,-53.97339191448624
7,mg2_gen5,86,-99.99973022013171,-53.973372731613985
7,mg2_gen6,931,-99.99972732463284,-53.97338891012289
7,gen401,401,0.0,0.0
7,gen1011,1011,0.0,0.0
8,mg1_gen1,22,-42.9248717801341,-23.168285529663372
8,mg1_gen2,24,-40.823591259908646,-22.033789598858334
8,mg1_gen3,28,-99.9997789954839,-53.97370547457224
8,mg1_gen4,301,-99.99977932870335,-53.973720401666704
8,mg2_gen1,72,-99.9996989005185,-53.97356751071791
8,mg2_gen2,75,-40.414074720195366,-21.81262876751992
8,mg2_gen3,76,-99.9996959029393,-53.97356193642517
8,mg2_gen4,771,-99.99969306006474,-53.97357419451858
8,mg2_gen5,86,-99.99969464110444,-53.973556855654216
8,mg2_gen6,931,-99.99969129886279,-53.97356851868744
8,gen401,401,0.0,0.0
8,gen1011,1011,0.0,0.0
9,mg1_gen1,22,-42.459653712582785,-22.91695827720925
9,mg1_gen2,24,-40.26593214251782,-21.73251302172427
9,mg1_gen3,28,-99.99961920420489,-53.9732649199195
9,mg1_gen4,301,-99.99961967811592,-53.973288169562835
9,mg2_gen1,72,-99.99948105379178,-53.97300082378448
9,mg2_gen2,75,-39.72796128433891,-21.441943786198124
9,mg2_gen3,76,-99.99947640700972,-53.97299124947526
9,mg2_gen4,771,-99.99947121971826,-53.97300899053381
9,mg2_gen5,86,-99.99947260846996,-53.972978312630396
9,mg2_gen6,931,-99.99946541833323,-53.972992321471764
9,gen401,401,0.0,0.0
9,gen1011,1011,0.0,0.0
10,mg1_gen1,22,-41.798855489709446,-22.559421871673056
10,mg1_gen2,24,-39.54487974406812,-21.342838244976477
10,mg1_gen3,28,-99.99920289128158,-53.97227032485881
10,mg1_gen4,301,-99.9992056890006,-53.972320692101434
10,mg2_gen1,72,-99.99891206109078,-53.97167996139908
10,mg2_gen2,75,-38.84593019749835,-20.965148660070625
10,mg2_gen3,76,-99.99890466533117,-53.971663815379216
10,mg2_gen4,771,-99.99889714920126,-53.971706115240934
10,mg2_gen5,86,-99.99889926591655,-53.97164069890581
10,mg2_gen6,931,-99.99888894713024,-53.9716756051837
10,gen401,401,0.0,0.0
10,gen1011,1011,0.0,0.0
11,mg1_gen1,22,-42.490637344017145,-22.934536780903095
11,mg1_gen2,24,-40.20627719078752,-21.701795973796187
11,mg1_gen3,28,-100.00044995532602,-53.97538483401043
11,mg1_gen4,301,-100.00044890946671,-53.97535554522115
11,mg2_gen1,72,-100.00061226360327,-53.97568383281659
11,mg2_gen2,75,-39.63903832185688,-21.395864920857445
11,mg2_gen3,76,-100.00061832975251,-53.97569689156935
11,mg2_gen4,771,-100.00062473244104,-53.97567431507567
11,mg2_gen5,86,-100.00062399025606,-53.97571615671302
11,mg2_gen6,931,-100.00063349072076,-53.97570012672281
11,gen401,401,0.0,0.0
11,gen1011,1011,0.0,0.0
12,mg1_gen1,22,-42.56938264507704,-22.97684266763078
12,mg1_gen2,24,-40.25318618845556,-21.726613365726372
12,mg1_gen3,28,-100.00015581386083,-53.97477376722114
12,mg1_gen4,301,-100.00015500253284,-53.97475709061722
12,mg2_gen1,72,-100.00021660969331,-53.97492210617408
12,mg2_gen2,75,-39.692045094092094,-21.423824661730443
12,mg2_gen3,76,-100.00021939120666,-53.974928313293645
12,mg2_gen4,771,-100.00022272861534,-53.97491657400994
12,mg2_gen5,86,-100.00022241155364,-53.974938588964484
12,mg2_gen6,931,-100.00022773786097,-53.974932662627964
12,gen401,401,0.0,0.0
12,gen1011,1011,0.0,0.0
13,mg1_gen1,22,-42.592449733693485,-22.989120181218922
13,mg1_gen2,24,-40.296401692026535,-21.75007057831892
13,mg1_gen3,28,-100.00023062518932,-53.974949544711095
13,mg1_gen4,301,-100.0002314334219,-53.9749426800909
13,mg2_gen1,72,-100.00032103451109,-53.975141945228756
13,mg2_gen2,75,-39.74449030450099,-21.45225129656857
13,mg2_gen3,76,-100.00032581374205,-53.975151445176614
13,mg2_gen4,771,-100.00033076611166,-53.9751518038682
13,mg2_gen5,86,-100.00033188610692,-53.975166511954825
13,mg2_gen6,931,-100.00034065453758,-53.975174375770166
13,gen401,401,0.0,0.0
13,gen1011,1011,0.0,0.0
14,mg1_gen1,22,-42.23398993809402,-22.79512867653042
14,mg1_gen2,24,-39.95221537187473,-21.563442511636676
14,mg1_gen3,28,-99.99970694686888,-53.97353729012836
14,mg1_gen4,301,-99.99970754725325,-53.973554640898456
14,mg2_gen1,72,-99.99960096463914,-53.97332913836016
14,mg2_gen2,75,-39.327246358286914,-21.22597279751209
14,mg2_gen3,76,-99.99959747072944,-53.973321701250924
14,mg2_gen4,771,-99.99959381823753,-53.97333509969995
14,mg2_gen5,86,-99.9995943217159,-53.973310817299335
14,mg2_gen6,931,-99.9995889358203,-53.97332043456241
14,gen401,401,0.0,0.0
14,gen1011,1011,0.0,0.0
15,mg1_gen1,22,-42.37475984201666,-22.872460651607803
15,mg1_gen2,24,-40.1392768953726,-21.666622779400655
15,mg1_gen3,28,-100.00104095528269,-53.977360799618076
15,mg1_gen4,301,-100.0010425500493,-53.977317448582
15,mg2_gen1,72,-100.00144508482265,-53.97826026366924
15,mg2_gen2,75,-39.55278298645998,-21.350451730404114
15,mg2_gen3,76,-100.00146350871121,-53.97829738851025
15,mg2_gen4,771,-100.0014830650823,-53.97828273736106
15,mg2_gen5,86,-100.00148596074172,-53.9783563570804
15,mg2_gen6,931,-100.00151995073303,-53.97837145310342
15,gen401,401,0.0,0.0
15,gen1011,1011,0.0,0.0
16,mg1_gen1,22,-41.80876818004329,-22.564602623710382
16,mg1_gen2,24,-39.45097056561965,-21.292578712167714
16,mg1_gen3,28,-99.99954771107221,-53.97280875800175
16,mg1_gen4,301,-99.9995507381375,-53.972854924508596
16,mg2_gen1,72,-99.99938612268534,-53.97237922882107
16,mg2_gen2,75,-38.70558915469425,-20.889999800238346
16,mg2_gen3,76,-99.99938092281215,-53.97236673481855
16,mg2_gen4,771,-99.99937628451121,-53.97241053146223
16,mg2_gen5,86,-99.99937535913605,-53.97234331603094
16,mg2_gen6,931,-99.99936614996746,-53.97237353026823
16,gen401,401,0.0,0.0
16,gen1011,1011,0.0,0.0
17,mg1_gen1,22,-41.756844832887495,-22.53544099139751
17,mg1_gen2,24,-39.25870645296638,-21.188501630720594
17,mg1_gen3,28,-99.99862468875583,-53.97011576325889
17,mg1_gen4,301,-99.99861701207328,-53.97012081026189
17,mg2_gen1,72,-99.9981259892597,-53.96884670865681
17,mg2_gen2,75,-38.468314870736734,-20.761831412430386
17,mg2_gen3,76,-99.9980960017473,-53.96878333925217
17,mg2_gen4,771,-99.99806996073636,-53.96875565051232
17,mg2_gen5,86,-99.99804107489697,-53.96865315627214
17,mg2_gen6,931,-99.99797164034003,-53.96853348820705
17,gen401,401,0.0,0.0
17,gen1011,1011,0.0,0.0
18,mg1_gen1,22,-41.46822941563701,-22.381145654986305
18,mg1_gen2,24,-38.92988218798598,-21.01192704430406
18,mg1_gen3,28,-99.9997483912106,-53.97361904961916
18,mg1_gen4,301,-99.99975111960549,-53.97364416118519
18,mg2_gen1,72,-99.99964957634944,-53.97336914610199
18,mg2_gen2,75,-38.0841048712364,-20.55526933861654
18,mg2_gen3,76,-99.9996455240954,-53.97335904748805
18,mg2_gen4,771,-99.99964162958794,-53.97337665111132
18,mg2_gen5,86,-99.99963866474661,-53.97333607832509
18,mg2_gen6,931,-99.9996305578446,-53.97334146032789
18,gen401,401,0.0,0.0
18,gen1011,1011,0.0,0.0
19,mg1_gen1,22,-41.85069150074451,-22.589502801884787
19,mg1_gen2,24,-39.335712030850985,-21.23141199638505
19,mg1_gen3,28,-100.00034583745582,-53.9749484232908
19,mg1_gen4,301,-100.00034324182806,-53.974922018469925
19,mg2_gen1,72,-100.00046798459772,-53.97518916952242
19,mg2_gen2,75,-38.56577279212063,-20.815990316988895
19,mg2_gen3,76,-100.00047260335612,-53.975200916681295
19,mg2_gen4,771,-100.00047646974545,-53.97518112423396
19,mg2_gen5,86,-100.00047875787874,-53.975223433436256
19,mg2_gen6,931,-100.0004869440219,-53.97521504328963
19,gen401,401,0.0,0.0
19,gen1011,1011,0.0,0.0
20,mg1_gen1,22,-42.40300264150651,-22.88735892133877
20,mg1_gen2,24,-40.0174500337605,-21.599783854604638
20,mg1_gen3,28,-100.0004550267943,-53.97532052627298
20,mg1_gen4,301,-100.00045346408243,-53.975287953121764
20,mg2_gen1,72,-100.00062090146443,-53.97561831906824
20,mg2_gen2,75,-39.40467235044337,-21.269281913537842
20,mg2_gen3,76,-100.00062753958795,-53.97563299858645
20,mg2_gen4,771,-100.0006341908904,-53.97560696397783
20,mg2_gen5,86,-100.00063438284297,-53.97565622950104
20,mg2_gen6,931,-100.00064503834118,-53.97563926219401
20,gen401,401,0.0,0.0
20,gen1011,1011,0.0,0.0
21,mg1_gen1,22,-42.8999436888346,-23.15520923684668
21,mg1_gen2,24,-40.77916228442565,-22.011146686609955
21,mg1_gen3,28,-100.00040814629114,-53.97533734509922
21,mg1_gen4,301,-100.00040812466904,-53.97531234349118
21,mg2_gen1,72,-100.00056491115652,-53.97561482900795
21,mg2_gen2,75,-40.34770213055531,-21.778518677380127
21,mg2_gen3,76,-100.00057143443281,-53.97562759972867
21,mg2_gen4,771,-100.00057782957674,-53.97560849770293
21,mg2_gen5,86,-100.00057582833995,-53.97564233773893
21,mg2_gen6,931,-100.00058435519487,-53.97562648881791
21,gen401,401,0.0,0.0
21,gen1011,1011,0.0,0.0
22,mg1_gen1,22,-43.232277264588134,-23.334429754087456
22,mg1_gen2,24,-41.37891330601229,-22.33452261080102
22,mg1_gen3,28,-100.00024803871582,-53.9749672888575
22,mg1_gen4,301,-100.00024745522555,-53.974947670839626
22,mg2_gen1,72,-100.000339420372,-53.97512987307517
22,mg2_gen2,75,-41.107415994768154,-22.18814119606306
22,mg2_gen3,76,-100.00034210424481,-53.975134809705885
22,mg2_gen4,771,-100.00034501679187,-53.97511750725943
22,mg2_gen5,86,-100.00034223571976,-53.975137815762295
22,mg2_gen6,931,-100.0003449469904,-53.97511957816941
22,gen401,401,0.0,0.0
22,gen1011,1011,0.0,0.0
23,mg1_gen1,22,-43.37671481096859,-23.412769311405658
23,mg1_gen2,24,-41.7020909929924,-22.510609001004287
23,mg1_gen3,28,-100.0011063222471,-53.97881001748187
23,mg1_gen4,301,-100.00109837418918,-53.97869215357913
23,mg2_gen1,72,-100.00159536235256,-53.97998545903617
23,mg2_gen2,75,-41.51973180275925,-22.41261193898319
23,mg2_gen3,76,-100.0016085821951,-53.98000719873826
23,mg2_gen4,771,-100.00162193040447,-53.97989668207816
23,mg2_gen5,86,-100.00161466354591,-53.980024415621926
23,mg2_gen6,931,-100.00163892077846,-53.97992681369365
23,gen401,401,0.0,0.0
23,gen1011,1011,0.0,0.0
