Hour,Microgrid,Load,Bus,P_kW,Q_kvar
1,MG1,s32c,x32,4.999999571589431,2.5000771461978846
1,MG1,s33a,x33,20.051183766600424,10.025765763003243
1,FEEDER,s34c,x34,14.859200083484193,7.429785376053561
1,FEEDER,s52a,x52,14.784143131656322,7.392146423890295
1,FEEDER,s53a,x53,14.784155313802504,7.392138224020855
1,FEEDER,s55a,x55,7.309105492111254,3.654564244406139
1,FEEDER,s56b,x56,7.392101753854907,3.6963466739979056
1,FEEDER,s58b,x58,7.476754456265495,3.738696032073595
1,FEEDER,s59b,x59,7.392128618388218,3.6963954198214353
1,FEEDER,s60a,x60,7.392103439935874,3.6960462923390645
1,FEEDER,s62c,x62,14.696464573780679,7.348462364281285
1,FEEDER,s63a,x63,14.78420900429928,7.39209375364886
1,FEEDER,s64b,x64,27.82534590216369,12.986520240602077
1,FEEDER,s65a,x65,8.991298634016047,0.8162993908146373
1,FEEDER,s65b,x65,9.073685756408828,0.8752827676153749
1,FEEDER,s65c,x65,18.362006193390755,1.9035056358924094
1,FEEDER,s66c,x66,27.719734264370974,12.936332935701898
1,FEEDER,s68a,x68,7.994025297731018,3.996981254012555
1,FEEDER,s69a,x69,15.96841076859049,7.984142884120049
1,FEEDER,s70a,x70,7.977247703350168,3.988592704184778
1,FEEDER,s71a,x71,15.946648953810419,7.973262297628352
1,MG2,s73c,x73,21.704141037507206,10.852427087039773
1,MG2,s74c,x74,23.842545302791546,11.921658403915115
1,MG2,s75c,x75,21.645028169696563,10.822870234127276
1,MG2,s76a,x76,42.05949912813201,2.718167865548181
1,MG2,s76b,x76,25.789099175618656,1.6984332361491847
1,MG2,s76c,x76,27.06568390745459,2.8834922507278407
1,MG2,s77b,x77,20.000515047783384,10.001420458037312
1,MG2,s79a,x79,23.817050381677117,11.90841096989413
1,MG2,s80b,x80,20.000521508927076,10.001432263268939
1,MG2,s82a,x82,21.810457885562617,10.905121291476332
1,MG2,s83a,x83,0.0,0.0
1,MG2,s84c,x84,10.945742623519136,5.473056682954487
1,MG2,s85c,x85,21.86650972671127,10.933625537989258
1,MG2,s86b,x86,10.000263102209132,5.000721535516177
1,MG2,s87b,x87,20.000536409188367,10.00146289758157
1,MG2,s88a,x88,21.582063688254507,10.790920735797426
1,MG2,s90b,x90,20.018371626739068,10.01032885667686
1,MG2,s92c,x92,21.894476529716002,10.947611457120253
1,MG2,s94a,x94,21.53635292625288,10.768060028418951
1,MG2,s95b,x95,10.00027340355527,5.000741926075503
1,MG2,s96b,x96,10.000274606727482,5.000743174463936
1,FEEDER,s98a,x98,15.977009930317003,7.988432153040507
1,FEEDER,s99b,x99,14.784351514259036,7.39302207030853
1,FEEDER,s100c,x100,17.74545024187655,8.873015170712286
1,MG3,add44,44,680.005794279709,204.01378464017506
1,MG4,add108,108,669.4855262498902,200.85837722554015
2,FEEDER,s1a,x1,14.112024104053374,7.05607839071017
2,FEEDER,s2b,x2,7.056019023376904,3.5280868802679057
2,FEEDER,s4c,x4,14.112007820907394,7.056072408632603
2,FEEDER,s5c,x5,7.131955381966355,3.566010117214938
2,FEEDER,s6c,x6,14.408530941581345,7.204327748149452
2,FEEDER,s7a,x7,7.056017338031605,3.5280414999788356
2,FEEDER,s9a,x9,14.112042403676279,7.056086750722758
2,FEEDER,s10a,x10,7.067881978496527,3.5339707883233014
2,FEEDER,s11a,x11,14.155875935042623,7.077992791385776
2,FEEDER,s12b,x12,7.056026921560861,3.5281061209292766
2,FEEDER,s16c,x16,14.111998764462175,7.056090445357256
2,FEEDER,s17c,x17,7.0559991565986895,3.528044979896859
2,FEEDER,s19a,x19,14.112056761571457,7.056110193300342
2,FEEDER,s20a,x20,14.04564047439447,7.022894172397361
2,MG1,s22b,x22,19.462681133951772,9.731615620537792
2,MG1,s24c,x24,19.200029342299164,9.600165537126006
2,MG1,s28a,x28,19.068911226206954,9.534560496839607
2,MG1,s29b,x29,0.0,0.0
2,MG1,s30c,x30,19.200029430902934,9.600167334007326
2,MG1,s31c,x31,4.800002584196495,2.4000352647388348
2,MG1,s32c,x32,4.800002666365448,2.4000353498139355
2,MG1,s33a,x33,19.291603721340252,9.645909579325217
2,FEEDER,s34c,x34,14.233303448035414,7.116733528835578
2,FEEDER,s52a,x52,14.11206208276807,7.0560848684939605
2,FEEDER,s53a,x53,14.112067057138836,7.056081949907565
2,FEEDER,s55a,x55,7.008387609766849,3.504209353994781
2,FEEDER,s56b,x56,7.056038272330232,3.5281372766044834
2,FEEDER,s58b,x58,7.146801132433087,3.5735281732749242
2,FEEDER,s59b,x59,7.056048941292912,3.5281568377321153
2,FEEDER,s60a,x60,7.056043933084745,3.5280326133922113
2,FEEDER,s62c,x62,14.091119804527441,7.045659252485098
2,FEEDER,s63a,x63,14.112088919451908,7.056065915470389
2,FEEDER,s64b,x64,26.608632421396734,12.41790626354912
2,FEEDER,s65a,x65,8.624133929639916,0.7852028070509941
2,FEEDER,s65b,x65,8.697965299572244,0.8379872964494595
2,FEEDER,s65c,x65,17.59996830942553,1.8215768409488347
2,FEEDER,s66c,x66,26.459908281701143,12.348155424039419
2,FEEDER,s68a,x68,7.670828408760942,3.835414440033549
2,FEEDER,s69a,x69,15.323646543773597,7.661823856199039
2,FEEDER,s70a,x70,7.655442656892185,3.8277216606504836
2,FEEDER,s71a,x71,15.303689484239419,7.651845451692952
2,MG2,s73c,x73,20.932935561487906,10.466622353120117
2,MG2,s74c,x74,22.998632860712075,11.49948362721664
2,MG2,s75c,x75,20.87815267499757,10.43923074707688
2,MG2,s76a,x76,40.57242842930251,2.6308740241444304
2,MG2,s76b,x76,24.81689730649984,1.634926986254257
2,MG2,s76c,x76,26.08719548896039,2.7722871741444344
2,MG2,s77b,x77,19.200198697579797,9.600566799277635
2,MG2,s79a,x79,22.990214443556415,11.495099275056544
2,MG2,s80b,x80,19.20020115113635,9.600571424086118
2,MG2,s82a,x82,21.051962963468426,10.525973762272434
2,MG2,s83a,x83,0.0,0.0
2,MG2,s84c,x84,10.557657990630487,5.278909077709543
2,MG2,s85c,x85,21.092168791122564,10.54624454011943
2,MG2,s86b,x86,9.60010152279701,4.8002878283277335
2,MG2,s87b,x87,19.200206999001576,9.600583429990401
2,MG2,s88a,x88,20.832737013786556,10.416359031380013
2,MG2,s90b,x90,19.25742607327731,9.629173581968196
2,MG2,s92c,x92,21.114883683230676,10.557602988860173
2,MG2,s94a,x94,20.78935169697387,10.394664226503592
2,MG2,s95b,x95,9.600105517445078,4.800295820160482
2,MG2,s96b,x96,9.600105986837102,4.800296308400002
2,FEEDER,s98a,x98,15.330910559320328,7.665451701361191
2,FEEDER,s99b,x99,14.112135075683307,7.056406433588765
2,FEEDER,s100c,x100,17.016242327147342,8.508246030981983
2,MG3,add44,44,670.0025627508802,201.00624722255577
2,MG4,add108,108,660.8079265531219,198.24806222023733
3,FEEDER,s1a,x1,13.663992309952235,6.831979808793494
3,FEEDER,s2b,x2,6.831989406053739,3.415944915592928
3,FEEDER,s4c,x4,13.664004807109475,6.8319783045038305
3,FEEDER,s5c,x5,6.904911275168773,3.452443871900131
3,FEEDER,s6c,x6,13.948836108748988,6.974395040582217
3,FEEDER,s7a,x7,6.831993085283847,3.415990467708878
3,FEEDER,s9a,x9,13.6639819284923,6.831981573834651
3,FEEDER,s10a,x10,6.841432520161047,3.420712262513572
3,FEEDER,s11a,x11,13.698388949620993,6.849187684856324
3,FEEDER,s12b,x12,6.831983777537034,3.4159311270934256
3,FEEDER,s16c,x16,13.664017642610887,6.831974401120952
3,FEEDER,s17c,x17,6.832008858999914,3.4159872381748415
3,FEEDER,s19a,x19,13.663971509056474,6.831976881815966
3,FEEDER,s20a,x20,13.590971182967202,6.795478996399598
3,MG1,s22b,x22,19.028995096938093,9.514305282711405
3,MG1,s24c,x24,18.800015308628176,9.3999483748415
3,MG1,s28a,x28,18.655248296398383,9.327613154726624
3,MG1,s29b,x29,0.0,0.0
3,MG1,s30c,x30,18.800014144074414,9.39994576068462
3,MG1,s31c,x31,4.700005350984851,2.349988967800763
3,MG1,s32c,x32,4.700005320143527,2.34998893610602
3,MG1,s33a,x33,18.87440560614849,9.437191302430415
3,FEEDER,s34c,x34,13.772317881654697,6.8861263762893525
3,FEEDER,s52a,x52,13.663970630761655,6.831987717975596
3,FEEDER,s53a,x53,13.663968013398504,6.831990233476716
3,FEEDER,s55a,x55,6.779009898135993,3.3895109117142552
3,FEEDER,s56b,x56,6.831976339593094,3.41591097702491
3,FEEDER,s58b,x58,6.915136464784347,3.4574853141457584
3,FEEDER,s59b,x59,6.831970564620768,3.4158999509009766
3,FEEDER,s60a,x60,6.831978414457133,3.416001911744607
3,FEEDER,s62c,x62,13.634160624072116,6.8170374084302905
3,FEEDER,s63a,x63,13.663956582005797,6.832003944855654
3,FEEDER,s64b,x64,25.747058137368523,12.014943836289453
3,FEEDER,s65a,x65,8.342009164108394,0.7595856749150899
3,FEEDER,s65b,x65,8.412365177535515,0.809800404758557
3,FEEDER,s65c,x65,17.02489653528569,1.7626818589834192
3,FEEDER,s66c,x66,25.620098427361146,11.955966777695073
3,FEEDER,s68a,x68,7.41919635917582,3.709616036781657
3,FEEDER,s69a,x69,14.8215123260372,7.410791794250146
3,FEEDER,s70a,x70,7.404775697141265,3.702405634713149
3,FEEDER,s71a,x71,14.802806739922822,7.401438909005114
3,MG2,s73c,x73,20.479527079498137,10.239695018270387
3,MG2,s74c,x74,22.50208470805057,11.250968547942403
3,MG2,s75c,x75,20.42702208671258,10.213442551736165
3,MG2,s76a,x76,39.67742484347254,2.573703853569428
3,MG2,s76b,x76,24.28466079546982,1.5996712191997595
3,MG2,s76c,x76,25.508467590477157,2.709533863561628
3,MG2,s77b,x77,18.799882692930552,9.399643375994838
3,MG2,s79a,x79,22.485684127541646,11.242900923915881
3,MG2,s80b,x80,18.799881305314926,9.399640827970337
3,MG2,s82a,x82,20.589310578143376,10.294710290546027
3,MG2,s83a,x83,0.0,0.0
3,MG2,s84c,x84,10.329109502228329,5.1645188481598385
3,MG2,s85c,x85,20.636034352859316,10.317945352995661
3,MG2,s86b,x86,9.399940434801506,4.699819694281895
3,MG2,s87b,x87,18.79987903064359,9.39963566624831
3,MG2,s88a,x88,20.37550204657958,10.18780588158225
3,MG2,s90b,x90,18.842472472421615,9.420942189730942
3,MG2,s92c,x92,20.656235666334542,10.328045664772857
3,MG2,s94a,x94,20.333424912303798,10.166768380696041
3,MG2,s95b,x95,9.399938604885923,4.6998158791359215
3,MG2,s96b,x96,9.399938389156741,4.699815662415988
3,FEEDER,s98a,x98,14.827640568153416,7.413858409378495
3,FEEDER,s99b,x99,13.663920287826135,6.831745852888111
3,FEEDER,s100c,x100,16.463325936587903,8.231608261325635
3,MG3,add44,44,669.9987818518516,200.99683375157093
3,MG4,add108,108,660.1777079526105,198.0503484250164
4,FEEDER,s1a,x1,13.887979834657125,6.943946840398204
4,FEEDER,s2b,x2,6.943975764604153,3.4718874403627384
4,FEEDER,s4c,x4,13.888000074779226,6.943933420831777
4,FEEDER,s5c,x5,7.01064369566828,3.505290016532268
4,FEEDER,s6c,x6,14.147436902512514,7.073656968110594
4,FEEDER,s7a,x7,6.943983989321851,3.47197421773388
4,FEEDER,s9a,x9,13.887959571169109,6.943949042585949
4,FEEDER,s10a,x10,6.9449742216181,3.4724738358939415
4,FEEDER,s11a,x11,13.888683857675016,6.94431880872442
4,FEEDER,s12b,x12,6.9439640244102625,3.471860655680209
4,FEEDER,s16c,x16,13.888021594252002,6.943917913005152
4,FEEDER,s17c,x17,6.94401097153022,3.4719591415932465
4,FEEDER,s19a,x19,13.887944255758132,6.943940136706223
4,FEEDER,s20a,x20,13.794856640841127,6.897401593148434
4,MG1,s22b,x22,20.18025576289337,10.08973785752452
4,MG1,s24c,x24,20.000003154357305,9.99983336027988
4,MG1,s28a,x28,19.809804499083636,9.90485862810291
4,MG1,s29b,x29,0.0,0.0
4,MG1,s30c,x30,20.00000342263905,9.999830921962019
4,MG1,s31c,x31,5.000005834055199,2.499964620464478
4,MG1,s32c,x32,5.000005751310055,2.4999645350450463
4,MG1,s33a,x33,20.041213535802694,10.020561413895594
4,FEEDER,s34c,x34,13.959564114920576,6.979696711698007
4,FEEDER,s52a,x52,13.88793588006885,6.943960041491219
4,FEEDER,s53a,x53,13.887929724040347,6.943964572423702
4,FEEDER,s55a,x55,6.8684444965512395,3.4342294177949158
4,FEEDER,s56b,x56,6.943947736301298,3.4718184419749316
4,FEEDER,s58b,x58,7.019099119099424,3.5093820040816213
4,FEEDER,s59b,x59,6.943935022729867,3.4717945191274415
4,FEEDER,s60a,x60,6.943951509288447,3.4719944409909274
4,FEEDER,s62c,x62,13.804626473181283,6.902205869954086
4,FEEDER,s63a,x63,13.887902286303587,6.943988634629421
4,FEEDER,s64b,x64,26.125260481263112,12.191075656296626
4,FEEDER,s65a,x65,8.445416570806392,0.7674562472452449
4,FEEDER,s65b,x65,8.520498825734292,0.8210070636677975
4,FEEDER,s65c,x65,17.243102909885955,1.7865804688833433
4,FEEDER,s66c,x66,26.04016471915208,12.151867850652762
4,FEEDER,s68a,x68,7.511467242408677,3.7557647432754546
4,FEEDER,s69a,x69,15.005571355975718,7.502847785885365
4,FEEDER,s70a,x70,7.496634258543322,3.7483481349440573
4,FEEDER,s71a,x71,14.986331115400015,7.4932275145994875
4,MG2,s73c,x73,21.679018967369743,10.839332525495726
4,MG2,s74c,x74,23.81494705970355,11.907281885502183
4,MG2,s75c,x75,21.619974733832564,10.809810632474246
4,MG2,s76a,x76,42.00974216408736,2.7177789150870395
4,MG2,s76b,x76,25.774913038447043,1.6981634981642342
4,MG2,s76c,x76,27.02241045905402,2.8742813190241105
4,MG2,s77b,x77,19.999720672987387,9.99921205329822
4,MG2,s79a,x79,23.801566470031965,11.900892250514577
4,MG2,s80b,x80,19.999717103509813,9.99920564133594
4,MG2,s82a,x82,21.796400342239846,10.898302771374135
4,MG2,s83a,x83,0.0,0.0
4,MG2,s84c,x84,10.932822984726947,5.4663192480354255
4,MG2,s85c,x85,21.840700048449502,10.92016557999765
4,MG2,s86b,x86,9.99985737652262,4.99960001098699
4,MG2,s87b,x87,19.999709278753038,9.999189427244689
4,MG2,s88a,x88,21.568012908794625,10.784110183836045
4,MG2,s90b,x90,19.99553319442995,9.997129506930854
4,MG2,s92c,x92,21.86862518141948,10.934126870300492
4,MG2,s94a,x94,21.522345962317043,10.76127950966388
4,MG2,s95b,x95,9.999851865008754,4.99958911740392
4,MG2,s96b,x96,9.999851222775472,4.999588450764517
4,FEEDER,s98a,x98,15.011477210312005,7.505805890658048
4,FEEDER,s99b,x99,13.887823300711004,6.943470852388337
4,FEEDER,s100c,x100,16.6660205095261,8.332874667248694
4,MG3,add44,44,679.997191526684,203.99312210520105
4,MG4,add108,108,679.6459755001534,203.88717304873438
5,FEEDER,s1a,x1,15.23192637025836,7.615825573097981
5,FEEDER,s2b,x2,7.6159136405703,3.8076738381132675
5,FEEDER,s4c,x4,15.231971498290802,7.615746201617049
5,FEEDER,s5c,x5,7.662690240286947,3.831231884623397
5,FEEDER,s6c,x6,15.41009336166387,7.70482983659464
5,FEEDER,s7a,x7,7.615946634895606,3.807914662844648
5,FEEDER,s9a,x9,15.231869253737399,7.615830045084682
5,FEEDER,s10a,x10,7.586925249261096,3.7934185437216215
5,FEEDER,s11a,x11,15.113070104597279,7.556459850889533
5,FEEDER,s12b,x12,7.615875391334894,3.8075991477077475
5,FEEDER,s16c,x16,15.232019221364878,7.615675206291401
5,FEEDER,s17c,x17,7.616010347210684,3.8078383813210537
5,FEEDER,s19a,x19,15.231831923714257,7.615796216067328
5,FEEDER,s20a,x20,15.064886758546807,7.532343960578875
5,MG1,s22b,x22,24.004915181694923,12.001310388473868
5,MG1,s24c,x24,23.999877455339526,11.999256067464291
5,MG1,s28a,x28,23.641153093799918,11.820396888628718
5,MG1,s29b,x29,0.0,0.0
5,MG1,s30c,x30,23.999878932119458,11.999248545742626
5,MG1,s31c,x31,5.9999948952416355,2.9998460455662848
5,MG1,s32c,x32,5.999994486793948,2.999845625213171
5,MG1,s33a,x33,23.912231442621945,11.955927711565092
5,FEEDER,s34c,x34,15.181477916571957,7.5904383208775705
5,FEEDER,s52a,x52,15.231802546474704,7.615866383013385
5,FEEDER,s53a,x53,15.23178470429857,7.615881810208577
5,FEEDER,s55a,x55,7.463252293731161,3.7316462265782815
5,FEEDER,s56b,x56,7.615821012790255,3.807478289769884
5,FEEDER,s58b,x58,7.672002428380428,3.8355368114253903
5,FEEDER,s59b,x59,7.61577880705341,3.8074052446803
5,FEEDER,s60a,x60,7.615854263475663,3.807982989312774
5,FEEDER,s62c,x62,14.97414512296173,7.486694848748447
5,FEEDER,s63a,x63,15.23170606401706,7.615964505568654
5,FEEDER,s64b,x64,28.527866280227727,13.3110233952128
5,FEEDER,s65a,x65,9.159474423616933,0.826454094048228
5,FEEDER,s65b,x65,9.256545093318941,0.8955654779357162
5,FEEDER,s65c,x65,18.726555796773752,1.9441713191854069
5,FEEDER,s66c,x66,28.56039578832712,13.327430412333598
5,FEEDER,s68a,x68,8.147900471246409,4.074046911918145
5,FEEDER,s69a,x69,16.275192287540875,8.13778906433423
5,FEEDER,s70a,x70,8.13029541418123,4.065244014303565
5,FEEDER,s71a,x71,16.25235762471197,8.126371254159196
5,MG2,s73c,x73,25.655771308359267,12.827205974269436
5,MG2,s74c,x74,28.1634750171668,14.081002441655901
5,MG2,s75c,x75,25.572265395161455,12.785454217394046
5,MG2,s76a,x76,49.756844221736834,3.1881076952452716
5,MG2,s76b,x76,30.7347033923991,2.0262008010053294
5,MG2,s76c,x76,32.06846894066565,3.4282527099333184
5,MG2,s77b,x77,23.998933289486093,11.99743639430855
5,MG2,s79a,x79,28.16199130408937,14.081367589747597
5,MG2,s80b,x80,23.998919255797407,11.997412185430598
5,MG2,s82a,x82,25.798003381400733,12.899351257936686
5,MG2,s83a,x83,0.0,0.0
5,MG2,s84c,x84,12.93360110230158,6.466446242522733
5,MG2,s85c,x85,25.83192802477829,12.91525571103609
5,MG2,s86b,x86,11.999454034548046,5.998698193528416
5,MG2,s87b,x87,23.99888530088774,11.997353631204335
5,MG2,s88a,x88,25.52346059224368,12.762088676154322
5,MG2,s90b,x90,23.84059890898529,11.918335485388083
5,MG2,s92c,x92,25.893197227095456,12.945882820587522
5,MG2,s94a,x94,25.464966604762363,12.732852393508711
5,MG2,s95b,x95,11.999430958177191,5.99865414745182
5,MG2,s96b,x96,11.999428290605607,5.998651386286629
5,FEEDER,s98a,x98,16.28286930168741,8.141643110299107
5,FEEDER,s99b,x99,15.2314012254464,7.614458081407546
5,FEEDER,s100c,x100,18.07220422363098,9.035626011829612
5,MG3,add44,44,719.9906288958931,215.97958788688908
5,MG4,add108,108,717.089206767478,215.10785914912157
6,FEEDER,s1a,x1,17.471983355489023,8.73598480190909
6,FEEDER,s2b,x2,8.735966618691444,4.367890339166121
6,FEEDER,s4c,x4,17.47200700759778,8.735970283051946
6,FEEDER,s5c,x5,8.738734343693535,4.369351514244499
6,FEEDER,s6c,x6,17.472709124624078,8.736324535831525
6,FEEDER,s7a,x7,8.735986219183072,4.367996262608867
6,FEEDER,s9a,x9,17.471964761324433,8.735997373443416
6,FEEDER,s10a,x10,8.640278219674052,4.320147831724899
6,FEEDER,s11a,x11,17.0896277303234,8.544833014729464
6,FEEDER,s12b,x12,8.735951938124433,4.367862751922108
6,FEEDER,s16c,x16,17.47203793810643,8.735966384594093
6,FEEDER,s17c,x17,8.736019053160698,4.367983281251237
6,FEEDER,s19a,x19,17.47194773743011,8.736001466199724
6,FEEDER,s20a,x20,17.14009129846826,8.570076056879639
6,MG1,s22b,x22,28.405099653547822,14.202141368463593
6,MG1,s24c,x24,28.800045052881583,14.3999146329641
6,MG1,s28a,x28,28.102879706900953,14.05148560130228
6,MG1,s29b,x29,0.0,0.0
6,MG1,s30c,x30,28.800044846622548,14.399913118695418
6,MG1,s31c,x31,7.200015314202529,3.5999836218469374
6,MG1,s32c,x32,7.200015257105587,3.5999835638602145
6,MG1,s33a,x33,28.419002430148524,14.209546547961711
6,FEEDER,s34c,x34,17.164901466039446,8.58240199113776
6,FEEDER,s52a,x52,17.471943142629566,8.736018105463314
6,FEEDER,s53a,x53,17.471937690174137,8.73602452185422
6,FEEDER,s55a,x55,8.415922473917606,4.207993799431006
6,FEEDER,s56b,x56,8.735931159008002,4.36782129540463
6,FEEDER,s58b,x58,8.746385969288655,4.373039587462754
6,FEEDER,s59b,x59,8.735915675162342,4.367796353283216
6,FEEDER,s60a,x60,8.73595704523954,4.3680292714263524
6,FEEDER,s62c,x62,16.865134359453254,8.432488759913403
6,FEEDER,s63a,x63,17.47191347401321,8.736058797669001
6,FEEDER,s64b,x64,32.47020558651837,15.152110637577268
6,FEEDER,s65a,x65,10.305830689259293,0.9200506742490234
6,FEEDER,s65b,x65,10.440531411903036,1.0161823231608533
6,FEEDER,s65c,x65,21.117474420894915,2.2014625926579283
6,FEEDER,s66c,x66,32.76021581364726,15.28795417140401
6,FEEDER,s68a,x68,9.161914411410162,4.5810199844644615
6,FEEDER,s69a,x69,18.29733488896011,9.148792833606258
6,FEEDER,s70a,x70,9.139282927435687,4.569704098620487
6,FEEDER,s71a,x71,18.267983469692815,9.134116937367452
6,MG2,s73c,x73,30.144468306511463,15.072083562675278
6,MG2,s74c,x74,33.06279475116497,16.531233810642853
6,MG2,s75c,x75,30.027213573514537,15.013456619575296
6,MG2,s76a,x76,58.4698549094745,3.6966620163935806
6,MG2,s76b,x76,36.50510171350968,2.407958699816496
6,MG2,s76c,x76,37.79466331959248,4.073384992383528
6,MG2,s77b,x77,28.799576010848806,14.3990804355548
6,MG2,s79a,x79,33.02620667217477,16.513341964119036
6,MG2,s80b,x80,28.799570337332415,14.399070969949516
6,MG2,s82a,x82,30.265684229401533,15.133066948367194
6,MG2,s83a,x83,0.0,0.0
6,MG2,s84c,x84,15.189933389706908,7.594886286285826
6,MG2,s85c,x85,30.330345987792487,15.165012333436007
6,MG2,s86b,x86,14.399783050980266,7.1995348502153504
6,MG2,s87b,x87,28.799557345447248,14.399053601195977
6,MG2,s88a,x88,29.93933583724918,14.969893838289565
6,MG2,s90b,x90,28.322905461326485,14.160782300337042
6,MG2,s92c,x92,30.443613353822933,15.221641315367267
6,MG2,s94a,x94,29.864431123179084,14.932445344456058
6,MG2,s95b,x95,14.399774170477185,7.199518240517779
6,MG2,s96b,x96,14.399773152242618,7.199517210632186
